process,rep,lag,theoretical_acf,acf
white_noise,22,10,0.0,-0.14822461384754296
white_noise,22,11,0.0,0.0589293841171598
white_noise,22,12,0.0,-0.016685647046709808
white_noise,22,13,0.0,0.00650621211537587
white_noise,22,14,0.0,-0.042419079502475754
white_noise,22,15,0.0,0.020453348102990234
white_noise,22,16,0.0,0.04917640560452287
white_noise,22,17,0.0,0.04402376267422693
white_noise,22,18,0.0,-0.026818165653430624
white_noise,22,19,0.0,-0.05145525131698624
white_noise,22,20,0.0,-0.03351761107564337
white_noise,23,1,0.0,0.043586145959549905
white_noise,23,2,0.0,-0.02471022203355022
white_noise,23,3,0.0,-0.051904139553604185
white_noise,23,4,0.0,0.029397651253502098
white_noise,23,5,0.0,-0.04220652450506035
white_noise,23,6,0.0,0.006427596394257894
white_noise,23,7,0.0,0.000621042175835299
white_noise,23,8,0.0,0.049716986248402886
white_noise,23,9,0.0,0.10270332914063036
white_noise,23,10,0.0,0.08721767491839018
white_noise,23,11,0.0,0.017355160254585104
white_noise,23,12,0.0,-0.03615875063940122
white_noise,23,13,0.0,-0.02658363174492459
white_noise,23,14,0.0,0.017991508068324
white_noise,23,15,0.0,0.07989327403639596
white_noise,23,16,0.0,-0.007856215195448164
white_noise,23,17,0.0,0.08426264304971519
white_noise,23,18,0.0,0.030132805093959984
white_noise,23,19,0.0,0.02535872254724976
white_noise,23,20,0.0,-0.06377228439755006
white_noise,24,1,0.0,0.006896989927386773
white_noise,24,2,0.0,-0.02469742530975779
white_noise,24,3,0.0,0.04523612508141662
white_noise,24,4,0.0,-0.011776040886209361
white_noise,24,5,0.0,0.14098658196465874
white_noise,24,6,0.0,0.0727282886109263
white_noise,24,7,0.0,0.051071350624057155
white_noise,24,8,0.0,0.0733116370238488
white_noise,24,9,0.0,-0.019411107271808337
white_noise,24,10,0.0,0.10634394379206255
white_noise,24,11,0.0,-0.038663431853895924
white_noise,24,12,0.0,0.01572103889607182
white_noise,24,13,0.0,-0.03372084554885849
white_noise,24,14,0.0,-0.12880002092092446
white_noise,24,15,0.0,0.049412111368423654
white_noise,24,16,0.0,0.037101196435946414
white_noise,24,17,0.0,0.004477998200885784
white_noise,24,18,0.0,0.04127036012147986
white_noise,24,19,0.0,-0.09717964137188398
white_noise,24,20,0.0,0.07047131332106224
white_noise,25,1,0.0,-0.026585918517306056
white_noise,25,2,0.0,0.03199657064525878
white_noise,25,3,0.0,-0.022404228953409114
white_noise,25,4,0.0,0.001045381362787585
white_noise,25,5,0.0,-0.03347972808615828
white_noise,25,6,0.0,-0.07894851992361825
white_noise,25,7,0.0,0.03260682874621124
white_noise,25,8,0.0,-0.07242726320296705
white_noise,25,9,0.0,-0.056089594720248055
white_noise,25,10,0.0,-0.0430972116318634
white_noise,25,11,0.0,0.009625125998893475
white_noise,25,12,0.0,-0.011557703563338476
white_noise,25,13,0.0,-0.16881403523221147
white_noise,25,14,0.0,0.008029266314884874
white_noise,25,15,0.0,-0.08651287094091228
white_noise,25,16,0.0,0.00010800892176844806
white_noise,25,17,0.0,-0.04350358543953404
white_noise,25,18,0.0,0.022303150820866566
white_noise,25,19,0.0,0.03987974581247847
white_noise,25,20,0.0,0.0001862376574953177
white_noise,26,1,0.0,0.014954352865105406
white_noise,26,2,0.0,-0.03696935129232473
white_noise,26,3,0.0,0.04849183958287283
white_noise,26,4,0.0,-0.10561267881477622
